26-03-2020 18:48:41.197 [localhost-startStop-24] INFO  org.hibernate.jpa.internal.util.LogHelper  - HHH000204: Processing PersistenceUnitInfo [name: server]
26-03-2020 18:48:41.227 [localhost-startStop-24] INFO  org.hibernate.dialect.Dialect  - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
26-03-2020 18:48:41.295 [localhost-startStop-24] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
26-03-2020 18:48:41.317 [localhost-startStop-24] WARN  org.hibernate.orm.connections.pooling  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
26-03-2020 18:48:41.318 [localhost-startStop-24] INFO  org.hibernate.orm.connections.pooling  - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/springapp]
26-03-2020 18:48:41.318 [localhost-startStop-24] INFO  org.hibernate.orm.connections.pooling  - HHH10001001: Connection properties: {user=admin, password=****}
26-03-2020 18:48:41.318 [localhost-startStop-24] INFO  org.hibernate.orm.connections.pooling  - HHH10001003: Autocommit mode: false
26-03-2020 18:48:41.318 [localhost-startStop-24] INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl  - HHH000115: Hibernate connection pool size: 20 (min=1)
26-03-2020 18:48:41.334 [localhost-startStop-24] INFO  org.hibernate.dialect.Dialect  - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
26-03-2020 18:48:41.388 [localhost-startStop-24] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
26-03-2020 18:52:25.740 [localhost-startStop-25] DEBUG org.jboss.logging  - Logging Provider: org.jboss.logging.Log4jLoggerProvider
26-03-2020 18:52:25.795 [localhost-startStop-25] INFO  org.hibernate.jpa.internal.util.LogHelper  - HHH000204: Processing PersistenceUnitInfo [name: server]
26-03-2020 18:52:25.896 [localhost-startStop-25] INFO  org.hibernate.Version  - HHH000412: Hibernate ORM core version 5.4.12.Final
26-03-2020 18:52:26.069 [localhost-startStop-25] INFO  org.hibernate.annotations.common.Version  - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
26-03-2020 18:52:26.421 [localhost-startStop-25] INFO  org.hibernate.dialect.Dialect  - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
26-03-2020 18:52:27.200 [localhost-startStop-25] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
26-03-2020 18:52:27.430 [localhost-startStop-25] WARN  org.hibernate.orm.connections.pooling  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
26-03-2020 18:52:27.432 [localhost-startStop-25] INFO  org.hibernate.orm.connections.pooling  - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/springapp]
26-03-2020 18:52:27.433 [localhost-startStop-25] INFO  org.hibernate.orm.connections.pooling  - HHH10001001: Connection properties: {user=admin, password=****}
26-03-2020 18:52:27.433 [localhost-startStop-25] INFO  org.hibernate.orm.connections.pooling  - HHH10001003: Autocommit mode: false
26-03-2020 18:52:27.436 [localhost-startStop-25] INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl  - HHH000115: Hibernate connection pool size: 20 (min=1)
26-03-2020 18:52:27.455 [localhost-startStop-25] INFO  org.hibernate.dialect.Dialect  - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
26-03-2020 18:52:27.497 [localhost-startStop-25] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
26-03-2020 18:52:27.549 [localhost-startStop-25] INFO  org.hibernate.jpa.internal.util.LogHelper  - HHH000204: Processing PersistenceUnitInfo [name: server]
26-03-2020 18:52:27.577 [localhost-startStop-25] INFO  org.hibernate.dialect.Dialect  - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
